Geographic Area Name,Total population,Percent Estimate: Total population,Total population: 65 years and over,Percent Estimate: 65 years and over
Kings,151366,151366,15413,10.2
Monterey,435594,435594,59491,13.7
Nevada,99696,99696,27746,27.8
Shasta,180040,180040,37027,20.6
Yuba,78041,78041,9383,12.0
Riverside,2450758,2450758,353025,14.4
Santa Clara,1937570,1937570,261252,13.5
Santa Cruz,274255,274255,45349,16.5
Stanislaus,549815,549815,72507,13.2
Sutter,96807,96807,14863,15.4
Ventura,850967,850967,132219,15.5
Los Angeles,10105518,10105518,1375959,13.6
Mendocino,87606,87606,19072,21.8
Orange,3185968,3185968,471226,14.8
Placer,393149,393149,76749,19.5
Sacramento,1540975,1540975,217444,14.1
Solano,446610,446610,70597,15.8
Alameda,1666753,1666753,230510,13.8
Lake,64382,64382,14856,23.1
San Francisco,883305,883305,138128,15.6
Sonoma,499942,499942,98030,19.6
Yolo,220408,220408,27177,12.3
San Bernardino,2171603,2171603,251168,11.6
San Diego,3343364,3343364,469821,14.1
San Joaquin,752660,752660,95844,12.7
Santa Barbara,446527,446527,68402,15.3
Tulare,465861,465861,52622,11.3
Contra Costa,1150215,1150215,181267,15.8
Fresno,994400,994400,121540,12.2
Humboldt,136373,136373,24296,17.8
Madera,157672,157672,22099,14.0
Napa,139417,139417,26805,19.2
Butte,231256,231256,42820,18.5
El Dorado,190678,190678,40427,21.2
Imperial,181827,181827,23512,12.9
Kern,896764,896764,98076,10.9
Marin,259666,259666,58213,22.4
Merced,274765,274765,30748,11.2
San Luis Obispo,284010,284010,57594,20.3
San Mateo,769545,769545,124038,16.1